0; 0; 0; 
0,1; 0,0160476; 0,313224; 
0,2; 0,0611532; 0,581702; 
0,3; 0,131005; 0,808699; 
0,4; 0,221618; 0,997459; 
0,5; 0,329329; 1,15118; 
0,6; 0,450791; 1,27298; 
0,7; 0,582963; 1,36589; 
0,8; 0,723103; 1,43281; 
0,9; 0,868753; 1,47654; 
1; 1,01773; 1,49972; 
1,1; 1,16809; 1,50484; 
1,2; 1,31817; 1,49426; 
1,3; 1,4665; 1,47016; 
1,4; 1,61182; 1,43459; 
1,5; 1,75309; 1,38942; 
1,6; 1,88944; 1,33638; 
1,7; 2,02016; 1,27704; 
1,8; 2,14469; 1,21284; 
1,9; 2,26261; 1,14506; 
2; 2,37362; 1,07486; 
2,1; 2,47753; 1,00325; 
2,2; 2,57425; 0,931136; 
2,3; 2,66377; 0,85931; 
2,4; 2,74615; 0,788448; 
2,5; 2,82151; 0,71913; 
2,6; 2,89004; 0,651842; 
2,7; 2,95196; 0,586987; 
2,8; 3,00753; 0,524889; 
2,9; 3,05704; 0,465801; 
3; 3,1008; 0,409914; 
3,1; 3,13913; 0,35736; 
3,2; 3,17239; 0,308221; 
3,3; 3,20089; 0,262534; 
3,4; 3,22501; 0,220297; 
3,5; 3,24507; 0,181472; 
3,6; 3,26141; 0,145994; 
3,7; 3,27438; 0,113772; 
3,8; 3,28427; 0,0846963; 
3,9; 3,29141; 0,0586381; 
4; 3,2961; 0,0354568; 
4,1; 3,2986; 0,0150017; 
4,2; 3,29918; -0,0028853; 
4,3; 3,2981; -0,0183668; 
4,4; 3,29558; -0,0316078; 
4,5; 3,29185; -0,0427738; 
4,6; 3,28709; -0,0520292; 
4,7; 3,2815; -0,0595352; 
4,8; 3,27524; -0,0654495; 
4,9; 3,26846; -0,0699245; 
5; 3,2613; -0,0731068; 
5,1; 3,25388; -0,0751363; 
5,2; 3,2463; -0,0761459; 
5,3; 3,23868; -0,0762611; 
5,4; 3,23108; -0,0755997; 
5,5; 3,22358; -0,0742713; 
