0; 0; 0; 
0,1; 0,0160658; 0,313569; 
0,2; 0,0612184; 0,582281; 
0,3; 0,131136; 0,809419; 
0,4; 0,221825; 0,998244; 
0,5; 0,329615; 1,15197; 
0,6; 0,451153; 1,27372; 
0,7; 0,583396; 1,36655; 
0,8; 0,723596; 1,43336; 
0,9; 0,869295; 1,47696; 
1; 1,0183; 1,49999; 
1,1; 1,16869; 1,50497; 
1,2; 1,31877; 1,49424; 
1,3; 1,46709; 1,47001; 
1,4; 1,61239; 1,4343; 
1,5; 1,75363; 1,38901; 
1,6; 1,88993; 1,33586; 
1,7; 2,0206; 1,27644; 
1,8; 2,14506; 1,21216; 
1,9; 2,26291; 1,14432; 
2; 2,37384; 1,07406; 
2,1; 2,47768; 1,00242; 
2,2; 2,57431; 0,930295; 
2,3; 2,66374; 0,858465; 
2,4; 2,74604; 0,787613; 
2,5; 2,82132; 0,718316; 
2,6; 2,88977; 0,651059; 
2,7; 2,95161; 0,586244; 
2,8; 3,00711; 0,524193; 
2,9; 3,05655; 0,465159; 
3; 3,10025; 0,409331; 
3,1; 3,13853; 0,356839; 
3,2; 3,17173; 0,307765; 
3,3; 3,2002; 0,262145; 
3,4; 3,22427; 0,219975; 
3,5; 3,24431; 0,181216; 
3,6; 3,26063; 0,145804; 
3,7; 3,27358; 0,113646; 
3,8; 3,28346; 0,0846311; 
3,9; 3,2906; 0,0586308; 
4; 3,29529; 0,035504; 
4,1; 3,29779; 0,0150995; 
4,2; 3,29839; -0,00274095; 
4,3; 3,29733; -0,0181802; 
4,4; 3,29483; -0,0313835; 
4,5; 3,29112; -0,0425163; 
4,6; 3,28639; -0,0517429; 
4,7; 3,28083; -0,0592246; 
4,8; 3,2746; -0,0651189; 
4,9; 3,26785; -0,069578; 
5; 3,26073; -0,0727483; 
5,1; 3,25334; -0,0747697; 
5,2; 3,24581; -0,0757748; 
5,3; 3,23822; -0,0758888; 
5,4; 3,23065; -0,0752291; 
5,5; 3,22319; -0,0739052; 
5,6; 3,21589; -0,0720188; 
