0.526112;-0.444284;0.000280585;0.774688;0.620454;109;0;-0.000183271;0.775228;0.620448;89;0
0.263261;0.529364;0.775033;-0.000684688;0.620461;102;0;-1.86737e-05;-0.000739215;1.73939e-05;75;0
0.581642;-0.104689;-0.000427467;-0.000647702;1.91582e-05;102;0;-0.000898492;-0.000901687;5.15444e-05;83;0
0.782794;0.690904;-0.000328385;0.00057469;1.39367e-05;92;0;0.775344;0.775478;1.2409;77;0
-0.655023;-0.815798;0.000157229;-0.00033843;4.4299e-06;103;0;-0.000303866;0.000260026;5.08813e-06;97;0
-0.274726;0.921349;-0.000562829;0.000441684;1.62829e-05;94;0;3.86703e-06;0.775374;0.620449;85;0
0.911488;-0.680751;0.000422136;-0.000263462;7.87681e-06;95;0;-0.000523697;0.000365657;1.29778e-05;137;0
0.974912;-0.289795;0.775265;-0.000166255;0.620448;85;0;0.775407;-0.775513;1.2409;65;0
-0.753251;-0.275582;0.000346474;-1.31622e-05;3.82427e-06;95;0;9.52721e-05;-0.775162;0.620447;103;0
0.819616;0.233771;-6.21104e-05;0.000380303;4.72359e-06;101;0;0.775194;0.000174603;0.620448;105;0
0.610352;0.474145;0.000163037;0.000335074;4.41716e-06;107;0;0.775438;-0.00014261;0.620451;69;0
-0.516687;0.957536;-0.000697969;7.38574e-05;1.56707e-05;107;0;7.38189e-05;0.775198;0.620447;57;0
0.0697407;-0.362772;-0.000557525;0.774654;0.620462;322;0;-0.00126022;0.000118623;5.09687e-05;153;0
-0.310904;0.594636;-0.000185484;-8.74964e-05;1.33797e-06;108;0;-9.78936e-05;1.96146e-05;3.17091e-07;137;0
-0.75493;-0.981864;7.30904e-05;-0.000500419;8.13608e-06;110;0;0.00128714;-0.000507413;6.08927e-05;83;0
0.538667;0.573426;0.00018206;-0.000207515;2.42428e-06;94;0;0.000208599;0.00131698;5.65587e-05;113;0
-0.170282;0.0842126;-0.000159888;-0.00014537;1.48548e-06;88;0;-0.00041219;-0.000211148;6.823e-06;93;0
-0.240083;0.344833;0.000337385;0.775058;0.62045;107;0;-0.774868;0.00106893;0.620484;83;0
-0.365301;-0.4393;0.774937;0.775454;1.2409;294;0;0.000232444;-0.00139193;6.33515e-05;71;0
